0.000318	31.380532	8105.631569	169576.438916	1301.125297	13010184.477777	-0.008819	0.000064	1.216755	3.994392	0.496566	-0.891646	-5.544620	0.000000
0.000956	31.304519	8128.811097	169636.990667	4013.967066	9896531.372300	-0.026808	0.000064	1.216755	3.963161	0.495478	-0.756647	-5.516189	0.000000
0.001596	31.157727	8156.955507	169424.188631	6977.061752	13156713.558766	-0.045584	0.000064	1.216755	3.994423	0.493427	-0.878848	-5.550234	0.000000
0.002240	30.935575	8205.513587	169216.446843	10408.363083	14337221.014771	-0.065723	0.000065	1.216755	4.010362	0.490308	-0.945515	-5.578294	0.000000
0.002889	30.636164	8273.063753	168956.584394	14513.053965	15188056.987380	-0.087822	0.000065	1.216755	4.016680	0.486070	-0.960501	-5.594321	0.000000
0.003545	30.260225	8358.717276	168608.695629	19588.058630	16409450.417533	-0.112567	0.000066	1.216755	4.022044	0.480689	-0.965448	-5.609763	0.000000
0.004211	29.808905	8461.393093	168130.760788	26050.048237	18135011.741282	-0.140785	0.000067	1.216755	4.028005	0.474138	-0.969135	-5.627027	0.000000
0.004887	29.280115	8580.892438	167475.774408	34348.659989	20435686.483045	-0.173502	0.000068	1.216755	4.035202	0.466334	-0.975399	-5.647121	0.000000
0.005577	28.666451	8718.365013	166585.776637	45560.608544	23417497.429122	-0.212168	0.000070	1.216755	4.043269	0.457094	-0.982078	-5.669324	0.000000
0.006283	27.953490	8876.714239	165383.499201	60565.390672	27255625.415049	-0.258848	0.000072	1.216755	4.052107	0.446103	-0.988013	-5.693447	0.000000
0.007008	27.117949	9061.186082	163760.788152	81899.169903	32285335.617581	-0.316490	0.000074	1.216755	4.061773	0.432852	-0.992322	-5.719572	0.000000
0.007758	26.126995	9279.590694	161560.502989	112280.849080	39239477.575693	-0.389898	0.000077	1.216755	4.072603	0.416587	-0.995204	-5.748272	0.000000
0.008540	24.939676	9543.370182	158575.832939	156249.258129	49224453.717030	-0.485570	0.000080	1.216755	4.085081	0.396257	-0.997020	-5.780274	0.000000
0.009363	23.508340	9868.027005	154523.400045	223354.504973	64919775.042886	-0.614813	0.000085	1.216755	4.099814	0.370411	-0.998243	-5.816251	0.000000
0.010244	21.797041	10272.303125	149097.696187	317842.490759	90350696.417476	-0.792807	0.000092	1.216755	4.117412	0.337359	-0.999205	-5.856624	0.000000
0.011204	19.788519	10780.401249	141994.841808	465183.424192	133081085.680687	-1.042656	0.000101	1.216755	4.138540	0.295088	-1.000166	-5.901332	0.000000
0.012277	17.514520	11414.257706	133000.193880	671195.950962	204022213.347447	-1.400950	0.000114	1.216755	4.163546	0.241743	-1.001332	-5.949673	0.000000
